更新时间,#genre#
2024-10-21 18:44:11,url
📺央视频道,#genre#
CCTV-1,http://60.220.167.223:8083/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://42.92.117.243:8888/rtp/239.255.30.101:8231$1920x1080
CCTV-1,http://183.30.201.198:10002/rtp/239.77.0.86:5146$1920x1080
CCTV-1,http://110.177.146.171:888/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://1.70.35.224:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://183.185.227.252:8001/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$1920x1080
CCTV-1,http://180.103.165.68:8888/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://183.30.201.198:10002/udp/239.77.1.17:5146$1920x1080
CCTV-1,http://180.102.250.10:8118/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://220.192.1.71:8008/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://121.21.84.3:8888/rtp/239.253.92.83:8012$1920x1080
CCTV-1,http://220.176.218.6:8888/rtp/239.252.219.200:5140$1920x1080
CCTV-1,http://114.252.225.255:8000/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://180.103.165.77:8888/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://180.158.191.162:9999/udp/239.45.3.145:5140$1920x1080
CCTV-1,http://14.19.146.196:4022/udp/239.77.1.17:5146$1920x1080
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8$1920x1080
CCTV-1,http://125.109.62.72:9999/rtp/233.50.201.222:5140$1920x1080
CCTV-1,http://117.88.230.19:8888/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://106.86.155.72:20005/rtp/235.254.198.51:1480$1920x1080
CCTV-1,http://111.194.239.82:6060/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://27.10.129.243:8002/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://120.6.7.108:4022/rtp/239.253.92.83:8012$1920x1080
CCTV-1,http://220.168.240.238:9999/rtp/239.76.253.151:9000$1920x1080
CCTV-1,http://115.171.58.66:4022/rtp/225.1.8.1:8008$1920x1080
CCTV-1,http://221.218.157.61:3527/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8$1920x1080
CCTV-1,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000018602/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000018602$1920x1080
CCTV-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$1920x1080
CCTV-2,http://116.179.149.222:6001/rtp/226.0.2.154:9144$1920x1080
CCTV-2,http://112.46.85.60:8009/hls/502/index.m3u8$1920x1080
CCTV-2,http://222.218.158.156:8181/tsfile/live/0002_1.m3u8$1920x1080
CCTV-2,https://livednow.com/migu/631780532?sign=gAAAAABmxHgUnAvEb33tHD9hTm-x8LUM8wdp7UNp8vG_QGzfBRymJcJ-qRZkuO8iC9C4jvmjR4JkCfpD2ahIj6YDLYc7I9zvSFX3TfVl-AEPw3Cr4tW6jEgf_21OyqfRJVr9Ur7eHN66lC0Vkm577g_N_DMJA7tvJB1VXzu8XvvBj9PfMX661WuanhS0hudEg28SveMbwkSCb9figgsldzEbo7jwMQVZ4A%3D%3D$1920x1080
CCTV-2,http://139.196.151.191:2051/rtp/239.45.1.109:5140
CCTV-2,http://110.177.146.171:888/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://183.185.227.252:8001/rtp/226.0.2.154:9144$1920x1080
CCTV-2,http://183.185.227.252:8001/rtp/226.0.2.19:8064$1920x1080
CCTV-2,http://171.213.130.157:8088/rtp/239.93.1.23:6000
CCTV-2,http://125.109.62.72:9999/rtp/233.50.201.119:5140$1920x1080
CCTV-2,http://120.55.49.231:3095/rtp/233.50.201.119:5140
CCTV-2,http://125.109.62.72:9999/rtp/233.50.201.2:5140$1920x1080
CCTV-2,http://120.55.49.231:3095/rtp/233.50.201.2:5140
CCTV-2,http://180.103.165.77:8888/rtp/239.49.8.130:6000$1920x1080
CCTV-2,http://180.103.165.68:8888/rtp/239.49.8.130:6000$1920x1080
CCTV-2,http://180.102.250.10:8118/rtp/239.49.8.130:6000$1920x1080
CCTV-2,http://117.88.230.19:8888/rtp/239.49.8.130:6000$1920x1080
CCTV-2,http://180.103.165.77:8888/rtp/239.49.1.2:6000$1920x1080
CCTV-2,http://180.103.165.68:8888/rtp/239.49.1.2:6000$1920x1080
CCTV-2,http://180.102.250.10:8118/rtp/239.49.1.2:6000$1920x1080
CCTV-2,http://117.88.230.19:8888/rtp/239.49.1.2:6000$1920x1080
CCTV-2,http://220.192.1.71:8008/rtp/225.0.4.132:7980$1920x1080
CCTV-2,http://27.10.129.243:8002/rtp/225.0.4.132:7980$1920x1080
CCTV-2,http://106.86.155.72:20005/rtp/235.254.198.52:1484$1920x1080
CCTV-2,http://106.86.155.72:20005/rtp/235.254.198.2:1284$1920x1080
CCTV-2,http://120.6.7.108:4022/rtp/239.253.92.190:6065$1920x1080
CCTV-2,http://121.21.84.3:8888/rtp/239.253.92.190:6065$1920x1080
CCTV-2,http://220.176.218.6:8888/rtp/239.252.220.183:5140$1920x1080
CCTV-2,http://220.168.240.238:9999/rtp/239.76.253.152:9000$1920x1080
CCTV-2,http://42.92.117.243:8888/rtp/239.255.30.179:8231$1920x1080
CCTV-3,http://139.196.151.191:2051/rtp/239.45.1.68:5140
CCTV-3,http://110.177.146.171:888/rtp/239.1.1.9:8009$1920x1080
CCTV-3,http://183.185.227.252:8001/rtp/226.0.2.208:9576$1920x1080
CCTV-3,http://183.185.227.252:8001/rtp/226.0.2.20:8072$1920x1080
CCTV-3,http://171.213.130.157:8088/rtp/239.93.1.11:2223
CCTV-3,http://125.109.62.72:9999/rtp/233.50.201.196:5140$1920x1080
CCTV-3,http://120.55.49.231:3095/rtp/233.50.201.196:5140
CCTV-3,http://125.109.62.72:9999/rtp/233.50.201.16:5140$1920x1080
CCTV-3,http://120.55.49.231:3095/rtp/233.50.201.16:5140
CCTV-3,http://180.103.165.77:8888/rtp/239.49.9.31:6000$1920x1080
CCTV-3,http://180.103.165.68:8888/rtp/239.49.9.31:6000$1920x1080
CCTV-3,http://180.102.250.10:8118/rtp/239.49.9.31:6000$1920x1080
CCTV-3,http://117.88.230.19:8888/rtp/239.49.9.31:6000$1920x1080
CCTV-3,http://180.103.165.77:8888/rtp/239.49.1.3:6000$1920x1080
CCTV-3,http://180.103.165.68:8888/rtp/239.49.1.3:6000$1920x1080
CCTV-3,http://180.102.250.10:8118/rtp/239.49.1.3:6000$1920x1080
CCTV-3,http://117.88.230.19:8888/rtp/239.49.1.3:6000$1920x1080
CCTV-3,http://220.192.1.71:8008/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://27.10.129.243:8002/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://106.86.155.72:20005/rtp/235.254.198.53:1488$1920x1080
CCTV-3,http://106.86.155.72:20005/rtp/235.254.198.141:1842$1920x1080
CCTV-3,http://120.6.7.108:4022/rtp/239.253.92.191:6057$1920x1080
CCTV-3,http://121.21.84.3:8888/rtp/239.253.92.191:6057$1920x1080
CCTV-3,http://220.176.218.6:8888/rtp/239.252.220.193:5140$1920x1080
CCTV-3,http://220.168.240.238:9999/rtp/239.76.253.153:9000$1920x1080
CCTV-3,http://42.92.117.243:8888/rtp/239.255.29.12:8231$1920x1080
CCTV-3,http://60.164.128.167:8029/rtp/239.255.29.12:8231$1920x1080
CCTV-3,http://122.9.151.210:887/rtp/238.255.2.133:5999
CCTV-3,http://115.171.58.66:4022/rtp/225.1.8.88:8000$1920x1080
CCTV-3,http://115.171.216.56:4000/rtp/225.1.8.88:8000
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$1920x1080
CCTV-4,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000$1920x1080
CCTV-4,https://hc73k3dhwo5gfkt.wcetv.com/hls/wcetv318.m3u8$1920x1080
CCTV-4,http://139.196.151.191:2051/rtp/239.45.0.2:5140
CCTV-4,http://110.177.146.171:888/rtp/239.1.1.10:8010$1920x1080
CCTV-4,http://183.185.227.252:8001/rtp/226.0.2.156:9160$1920x1080
CCTV-4,http://183.185.227.252:8001/rtp/226.0.2.21:8080$1920x1080
CCTV-4,http://171.213.130.157:8088/rtp/239.93.1.105:5140
CCTV-4,http://125.109.62.72:9999/rtp/233.50.200.101:5140$1920x1080
CCTV-4,http://120.55.49.231:3095/rtp/233.50.200.101:5140
CCTV-4,http://125.109.62.72:9999/rtp/233.50.201.4:5140$1920x1080
CCTV-4,http://120.55.49.231:3095/rtp/233.50.201.4:5140
CCTV-4,http://180.103.165.77:8888/rtp/239.49.8.131:6000$1920x1080
CCTV-4,http://180.103.165.68:8888/rtp/239.49.8.131:6000$1920x1080
CCTV-4,http://180.102.250.10:8118/rtp/239.49.8.131:6000$1920x1080
CCTV-4,http://117.88.230.19:8888/rtp/239.49.8.131:6000$1920x1080
CCTV-4,http://180.103.165.77:8888/rtp/239.49.1.4:6000$1920x1080
CCTV-4,http://180.103.165.68:8888/rtp/239.49.1.4:6000$1920x1080
CCTV-4,http://180.102.250.10:8118/rtp/239.49.1.4:6000$1920x1080
CCTV-4,http://117.88.230.19:8888/rtp/239.49.1.4:6000$1920x1080
CCTV-4,http://220.192.1.71:8008/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://27.10.129.243:8002/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://106.86.155.72:20005/rtp/235.254.198.183:7980$1920x1080
CCTV-4,http://106.86.155.72:20005/rtp/235.254.198.3:1288$1920x1080
CCTV-4,http://120.6.7.108:4022/rtp/239.253.93.192:6370$1920x1080
CCTV-4,http://121.21.84.3:8888/rtp/239.253.93.192:6370$1920x1080
CCTV-4,http://220.176.218.6:8888/rtp/239.252.220.184:5140$1920x1080
CCTV-4,http://220.176.218.6:8888/rtp/239.252.219.192:5140$1920x1080
CCTV-4,http://220.168.240.238:9999/rtp/239.76.253.154:9000$1920x1080
CCTV-4,http://220.168.240.238:9999/rtp/239.76.253.95:9000$1920x1080
CCTV-5,http://139.196.151.191:2051/rtp/239.45.1.69:5140
CCTV-5,http://110.177.146.171:888/rtp/239.1.1.11:8011$1920x1080
CCTV-5,http://183.185.227.252:8001/rtp/226.0.2.209:9584$1920x1080
CCTV-5,http://183.185.227.252:8001/rtp/226.0.2.22:8088$1920x1080
CCTV-5,http://171.213.130.157:8088/rtp/239.93.42.37:5140
CCTV-5,http://125.109.62.72:9999/rtp/233.50.201.197:5140$1920x1080
CCTV-5,http://120.55.49.231:3095/rtp/233.50.201.197:5140
CCTV-5,http://125.109.62.72:9999/rtp/233.50.201.17:5140$1920x1080
CCTV-5,http://120.55.49.231:3095/rtp/233.50.201.17:5140
CCTV-5,http://180.103.165.77:8888/rtp/239.49.9.32:6000$1920x1080
CCTV-5,http://180.103.165.68:8888/rtp/239.49.9.32:6000$1920x1080
CCTV-5,http://180.102.250.10:8118/rtp/239.49.9.32:6000$1920x1080
CCTV-5,http://117.88.230.19:8888/rtp/239.49.9.32:6000$1920x1080
CCTV-5,http://180.103.165.77:8888/rtp/239.49.1.5:6000$1920x1080
CCTV-5,http://180.103.165.68:8888/rtp/239.49.1.5:6000$1920x1080
CCTV-5,http://180.102.250.10:8118/rtp/239.49.1.5:6000$1920x1080
CCTV-5,http://117.88.230.19:8888/rtp/239.49.1.5:6000$1920x1080
CCTV-5,http://220.192.1.71:8008/rtp/225.0.4.143:7980$1920x1080
CCTV-5,http://27.10.129.243:8002/rtp/225.0.4.143:7980$1920x1080
CCTV-5,http://106.86.155.72:20005/rtp/235.254.198.54:1492$1920x1080
CCTV-5,http://106.86.155.72:20005/rtp/235.254.198.142:1846$1920x1080
CCTV-5,http://120.6.7.108:4022/rtp/239.253.92.181:6046$1920x1080
CCTV-5,http://121.21.84.3:8888/rtp/239.253.92.181:6046$1920x1080
CCTV-5,http://220.176.218.6:8888/rtp/239.252.219.236:5140$1920x1080
CCTV-5,http://220.168.240.238:9999/rtp/239.76.253.155:9000$1920x1080
CCTV-5,http://42.92.117.243:8888/rtp/239.255.29.13:8231$1920x1080
CCTV-5,http://60.164.128.167:8029/rtp/239.255.29.13:8231$1920x1080
CCTV-5,http://122.9.151.210:887/rtp/238.255.2.134:5999
CCTV-5,http://115.171.58.66:4022/rtp/225.1.8.89:8000$1920x1080
CCTV-5,http://115.171.216.56:4000/rtp/225.1.8.89:8000
CCTV-5+,http://58.48.200.208:12312/rtp/239.69.1.12:9712$3840x2160
CCTV-5+,http://42.92.117.243:8888/rtp/239.255.30.184:8231$1920x1080
CCTV-5+,http://110.177.146.171:888/rtp/239.1.1.12:8012$1920x1080
CCTV-5+,http://183.185.227.252:8001/rtp/226.0.2.168:9256$1920x1080
CCTV-5+,http://171.213.130.157:8088/rtp/239.93.1.36:8004
CCTV-5+,http://125.109.62.72:9999/rtp/233.50.201.220:5140$1920x1080
CCTV-5+,http://120.55.49.231:3095/rtp/233.50.201.220:5140
CCTV-5+,http://180.103.165.77:8888/rtp/239.49.8.137:6000$1920x1080
CCTV-5+,http://180.103.165.68:8888/rtp/239.49.8.137:6000$1920x1080
CCTV-5+,http://180.102.250.10:8118/rtp/239.49.8.137:6000$1920x1080
CCTV-5+,http://117.88.230.19:8888/rtp/239.49.8.137:6000$1920x1080
CCTV-5+,http://220.192.1.71:8008/rtp/225.0.4.73:7980$1920x1080
CCTV-5+,http://27.10.129.243:8002/rtp/225.0.4.73:7980$1920x1080
CCTV-5+,http://106.86.155.72:20005/rtp/235.254.198.122:1764$1920x1080
